Year,Year ending,Local Government Area,Sex,Alleged Offender Incidents
2016,December,Moorabool,Males,644
2016,December,Mornington Peninsula,Females,713
2016,December,Mornington Peninsula,Males,"3,445"
2016,December,Mount Alexander,Females,69
2016,December,Mount Alexander,Males,392
2016,December,Moyne,Females,43
2016,December,Moyne,Males,179
2016,December,Murrindindi,Females,36
2016,December,Murrindindi,Males,201
2016,December,Nillumbik,Females,97
2016,December,Nillumbik,Males,658
2016,December,Northern Grampians,Females,98
2016,December,Northern Grampians,Males,439
2016,December,Port Phillip,Females,601
2016,December,Port Phillip,Males,"2,452"
2016,December,Pyrenees,Females,19
2016,December,Pyrenees,Males,114
2016,December,Queenscliffe,Females,
2016,December,Queenscliffe,Males,
2016,December,South Gippsland,Females,81
2016,December,South Gippsland,Males,512
2016,December,Southern Grampians,Females,127
2016,December,Southern Grampians,Males,409
2016,December,Stonnington,Females,573
2016,December,Stonnington,Males,"2,264"
2016,December,Strathbogie,Females,25
2016,December,Strathbogie,Males,193
2016,December,Surf Coast,Females,72
2016,December,Surf Coast,Males,313
2016,December,Swan Hill,Females,233
2016,December,Swan Hill,Males,776
2016,December,Towong,Females,14
2016,December,Towong,Males,97
2016,December,Wangaratta,Females,185
2016,December,Wangaratta,Males,832
2016,December,Warrnambool,Females,322
2016,December,Warrnambool,Males,981
2016,December,Wellington,Females,341
2016,December,Wellington,Males,"1,359"
2016,December,West Wimmera,Females,11
2016,December,West Wimmera,Males,46
2016,December,Whitehorse,Females,374
2016,December,Whitehorse,Males,"1,579"
2016,December,Whittlesea,Females,867
2016,December,Whittlesea,Males,"3,374"
2016,December,Wodonga,Females,295
2016,December,Wodonga,Males,"1,060"
2016,December,Wyndham,Females,819
2016,December,Wyndham,Males,"3,511"
2016,December,Yarra,Females,582
2016,December,Yarra,Males,"2,822"
2016,December,Yarra Ranges,Females,515
2016,December,Yarra Ranges,Males,"2,328"
2016,December,Yarriambiack,Females,34
2016,December,Yarriambiack,Males,148
2015,December,Alpine,Females,36
2015,December,Alpine,Males,184
2015,December,Ararat,Females,83
2015,December,Ararat,Males,384
2015,December,Ballarat,Females,603
2015,December,Ballarat,Males,"2,772"
2015,December,Banyule,Females,637
2015,December,Banyule,Males,"2,166"
2015,December,Bass Coast,Females,198
2015,December,Bass Coast,Males,835
2015,December,Baw Baw,Females,252
2015,December,Baw Baw,Males,"1,033"
2015,December,Bayside,Females,201
2015,December,Bayside,Males,"1,033"
2015,December,Benalla,Females,97
2015,December,Benalla,Males,352
2015,December,Boroondara,Females,266
2015,December,Boroondara,Males,"1,253"
2015,December,Brimbank,Females,997
2015,December,Brimbank,Males,"4,304"
2015,December,Buloke,Females,7
2015,December,Buloke,Males,74
2015,December,Campaspe,Females,194
2015,December,Campaspe,Males,880
2015,December,Cardinia,Females,402
2015,December,Cardinia,Males,"1,783"
2015,December,Casey,Females,"1,154"
2015,December,Casey,Males,"5,003"
2015,December,Central Goldfields,Females,107
2015,December,Central Goldfields,Males,357
2015,December,Colac-Otway,Females,127
2015,December,Colac-Otway,Males,513
2015,December,Corangamite,Females,43
2015,December,Corangamite,Males,167
2015,December,Darebin,Females,777
2015,December,Darebin,Males,"2,727"
2015,December,East Gippsland,Females,352
2015,December,East Gippsland,Males,"1,406"
2015,December,Frankston,Females,"1,180"
2015,December,Frankston,Males,"4,174"
2015,December,Gannawarra,Females,42
2015,December,Gannawarra,Males,204
2015,December,Glen Eira,Females,287
2015,December,Glen Eira,Males,"1,258"
2015,December,Glenelg,Females,126
2015,December,Glenelg,Males,511
2015,December,Golden Plains,Females,22
2015,December,Golden Plains,Males,138
2015,December,Greater Bendigo,Females,640
2015,December,Greater Bendigo,Males,"2,342"
2015,December,Greater Dandenong,Females,"1,180"
2015,December,Greater Dandenong,Males,"4,766"
2015,December,Greater Geelong,Females,"1,113"
2015,December,Greater Geelong,Males,"4,368"
2015,December,Greater Shepparton,Females,582
2015,December,Greater Shepparton,Males,"2,060"
2015,December,Hepburn,Females,32
2015,December,Hepburn,Males,162
2015,December,Hindmarsh,Females,10
2015,December,Hindmarsh,Males,100
2015,December,Hobsons Bay,Females,339
2015,December,Hobsons Bay,Males,"1,613"
2015,December,Horsham,Females,290
2015,December,Horsham,Males,878
2015,December,Hume,Females,"1,046"
2015,December,Hume,Males,"4,444"
2015,December,Indigo,Females,21
2015,December,Indigo,Males,113
2015,December,Kingston,Females,613
2015,December,Kingston,Males,"2,785"
2015,December,Knox,Females,590
2015,December,Knox,Males,"2,306"
2015,December,Latrobe,Females,"1,118"
2015,December,Latrobe,Males,"3,976"
2015,December,Loddon,Females,26
2015,December,Loddon,Males,111
2015,December,Macedon Ranges,Females,123
2015,December,Macedon Ranges,Males,489
2015,December,Manningham,Females,306
2015,December,Manningham,Males,842
2015,December,Mansfield,Females,21
2015,December,Mansfield,Males,123
2015,December,Maribyrnong,Females,515
2015,December,Maribyrnong,Males,"1,966"
2015,December,Maroondah,Females,514
2015,December,Maroondah,Males,"1,860"
2015,December,Melbourne,Females,"2,101"
2015,December,Melbourne,Males,"9,074"
2015,December,Melton,Females,518
2015,December,Melton,Males,"2,171"
2015,December,Merri-bek,Females,582
2015,December,Merri-bek,Males,"2,719"
2015,December,Mildura,Females,513
2015,December,Mildura,Males,"1,827"
2015,December,Mitchell,Females,298
2015,December,Mitchell,Males,"1,024"
2015,December,Moira,Females,119
2015,December,Moira,Males,503
2015,December,Monash,Females,406
2015,December,Monash,Males,"1,848"
2015,December,Moonee Valley,Females,435
2015,December,Moonee Valley,Males,"1,815"
2015,December,Moorabool,Females,146
2015,December,Moorabool,Males,557
2015,December,Mornington Peninsula,Females,617
2015,December,Mornington Peninsula,Males,"3,135"
2015,December,Mount Alexander,Females,54
2015,December,Mount Alexander,Males,313
2015,December,Moyne,Females,20
2015,December,Moyne,Males,172
2015,December,Murrindindi,Females,21
2015,December,Murrindindi,Males,214
2015,December,Nillumbik,Females,119
2015,December,Nillumbik,Males,544
2015,December,Northern Grampians,Females,67
2015,December,Northern Grampians,Males,401
2015,December,Port Phillip,Females,673
2015,December,Port Phillip,Males,"2,572"
2015,December,Pyrenees,Females,15
2015,December,Pyrenees,Males,105
2015,December,Queenscliffe,Females,
2015,December,Queenscliffe,Males,
2015,December,South Gippsland,Females,79
2015,December,South Gippsland,Males,342
2015,December,Southern Grampians,Females,57
2015,December,Southern Grampians,Males,335
2015,December,Stonnington,Females,514
2015,December,Stonnington,Males,"2,061"
2015,December,Strathbogie,Females,25
2015,December,Strathbogie,Males,118
2015,December,Surf Coast,Females,67
2015,December,Surf Coast,Males,273
2015,December,Swan Hill,Females,234
2015,December,Swan Hill,Males,831
2015,December,Towong,Females,20
2015,December,Towong,Males,54
2015,December,Wangaratta,Females,197
2015,December,Wangaratta,Males,827
2015,December,Warrnambool,Females,273
2015,December,Warrnambool,Males,852
2015,December,Wellington,Females,338
2015,December,Wellington,Males,"1,118"
2015,December,West Wimmera,Females,8
2015,December,West Wimmera,Males,49
2015,December,Whitehorse,Females,340
2015,December,Whitehorse,Males,"1,503"
2015,December,Whittlesea,Females,630
2015,December,Whittlesea,Males,"3,013"
2015,December,Wodonga,Females,335
2015,December,Wodonga,Males,"1,113"
2015,December,Wyndham,Females,666
2015,December,Wyndham,Males,"3,136"
2015,December,Yarra,Females,601
2015,December,Yarra,Males,"2,769"
2015,December,Yarra Ranges,Females,443
2015,December,Yarra Ranges,Males,"1,924"
2015,December,Yarriambiack,Females,47
2015,December,Yarriambiack,Males,126
2014,December,Alpine,Females,19
2014,December,Alpine,Males,145
2014,December,Ararat,Females,112
2014,December,Ararat,Males,409
2014,December,Ballarat,Females,643
2014,December,Ballarat,Males,"2,654"
2014,December,Banyule,Females,593
2014,December,Banyule,Males,"1,879"
2014,December,Bass Coast,Females,204
2014,December,Bass Coast,Males,"1,017"
2014,December,Baw Baw,Females,249
2014,December,Baw Baw,Males,979
2014,December,Bayside,Females,179
2014,December,Bayside,Males,924
2014,December,Benalla,Females,112
2014,December,Benalla,Males,323
2014,December,Boroondara,Females,231
2014,December,Boroondara,Males,"1,386"
2014,December,Brimbank,Females,887
2014,December,Brimbank,Males,"4,046"
2014,December,Buloke,Females,16
2014,December,Buloke,Males,68
2014,December,Campaspe,Females,175
2014,December,Campaspe,Males,839
2014,December,Cardinia,Females,308
2014,December,Cardinia,Males,"1,539"
2014,December,Casey,Females,987
2014,December,Casey,Males,"4,430"
2014,December,Central Goldfields,Females,76
2014,December,Central Goldfields,Males,373
2014,December,Colac-Otway,Females,116
2014,December,Colac-Otway,Males,457
2014,December,Corangamite,Females,39
2014,December,Corangamite,Males,167
2014,December,Darebin,Females,734
2014,December,Darebin,Males,"2,583"
2014,December,East Gippsland,Females,385
2014,December,East Gippsland,Males,"1,329"
2014,December,Frankston,Females,"1,168"
2014,December,Frankston,Males,"4,233"
2014,December,Gannawarra,Females,31
2014,December,Gannawarra,Males,218
2014,December,Glen Eira,Females,225
2014,December,Glen Eira,Males,"1,193"
2014,December,Glenelg,Females,92
2014,December,Glenelg,Males,507
2014,December,Golden Plains,Females,28
2014,December,Golden Plains,Males,104
2014,December,Greater Bendigo,Females,596
2014,December,Greater Bendigo,Males,"2,496"
2014,December,Greater Dandenong,Females,"1,019"
2014,December,Greater Dandenong,Males,"4,507"
2014,December,Greater Geelong,Females,940
2014,December,Greater Geelong,Males,"4,141"
2014,December,Greater Shepparton,Females,501
2014,December,Greater Shepparton,Males,"1,990"
2014,December,Hepburn,Females,34
2014,December,Hepburn,Males,195
2014,December,Hindmarsh,Females,15
2014,December,Hindmarsh,Males,68
2014,December,Hobsons Bay,Females,410
2014,December,Hobsons Bay,Males,"1,844"
2014,December,Horsham,Females,252
2014,December,Horsham,Males,688
2014,December,Hume,Females,947
2014,December,Hume,Males,"4,065"
2014,December,Indigo,Females,29
2014,December,Indigo,Males,136
2014,December,Kingston,Females,620
2014,December,Kingston,Males,"2,476"
2014,December,Knox,Females,569
2014,December,Knox,Males,"2,203"
2014,December,Latrobe,Females,988
2014,December,Latrobe,Males,"3,251"
2014,December,Loddon,Females,26
2014,December,Loddon,Males,98
2014,December,Macedon Ranges,Females,117
2014,December,Macedon Ranges,Males,561
2014,December,Manningham,Females,280
2014,December,Manningham,Males,881
2014,December,Mansfield,Females,25
2014,December,Mansfield,Males,145
2014,December,Maribyrnong,Females,526
2014,December,Maribyrnong,Males,"2,028"
2014,December,Maroondah,Females,461
2014,December,Maroondah,Males,"1,759"
2014,December,Melbourne,Females,"2,026"
2014,December,Melbourne,Males,"9,589"
2014,December,Melton,Females,415
2014,December,Melton,Males,"2,100"
2014,December,Merri-bek,Females,533
2014,December,Merri-bek,Males,"2,381"
2014,December,Mildura,Females,507
2014,December,Mildura,Males,"1,798"
2014,December,Mitchell,Females,199
2014,December,Mitchell,Males,810
2014,December,Moira,Females,126
2014,December,Moira,Males,470
2014,December,Monash,Females,403
2014,December,Monash,Males,"1,758"
2014,December,Moonee Valley,Females,372
2014,December,Moonee Valley,Males,"1,788"
2014,December,Moorabool,Females,123
2014,December,Moorabool,Males,474
2014,December,Mornington Peninsula,Females,610
2014,December,Mornington Peninsula,Males,"3,180"
2014,December,Mount Alexander,Females,60
2014,December,Mount Alexander,Males,269
2014,December,Moyne,Females,36
2014,December,Moyne,Males,192
2014,December,Murrindindi,Females,39
2014,December,Murrindindi,Males,248
2014,December,Nillumbik,Females,100
2014,December,Nillumbik,Males,477
2014,December,Northern Grampians,Females,113
2014,December,Northern Grampians,Males,328
2014,December,Port Phillip,Females,597
2014,December,Port Phillip,Males,"2,689"
2014,December,Pyrenees,Females,19
2014,December,Pyrenees,Males,105
2014,December,Queenscliffe,Females,10
2014,December,Queenscliffe,Males,36
2014,December,South Gippsland,Females,77
2014,December,South Gippsland,Males,367
2014,December,Southern Grampians,Females,70
2014,December,Southern Grampians,Males,364
2014,December,Stonnington,Females,479
2014,December,Stonnington,Males,"2,112"
2014,December,Strathbogie,Females,23
2014,December,Strathbogie,Males,135
2014,December,Surf Coast,Females,73
2014,December,Surf Coast,Males,350
2014,December,Swan Hill,Females,268
2014,December,Swan Hill,Males,773
2014,December,Towong,Females,10
2014,December,Towong,Males,93
2014,December,Wangaratta,Females,248
2014,December,Wangaratta,Males,861
2014,December,Warrnambool,Females,177
2014,December,Warrnambool,Males,784
2014,December,Wellington,Females,287
2014,December,Wellington,Males,"1,054"
2014,December,West Wimmera,Females,6
2014,December,West Wimmera,Males,36
2014,December,Whitehorse,Females,339
2014,December,Whitehorse,Males,"1,408"
2014,December,Whittlesea,Females,630
2014,December,Whittlesea,Males,"2,950"
2014,December,Wodonga,Females,281
2014,December,Wodonga,Males,953
2014,December,Wyndham,Females,585
2014,December,Wyndham,Males,"2,997"
2014,December,Yarra,Females,582
2014,December,Yarra,Males,"3,059"
2014,December,Yarra Ranges,Females,496
2014,December,Yarra Ranges,Males,"1,866"
2014,December,Yarriambiack,Females,18
2014,December,Yarriambiack,Males,80
2013,December,Alpine,Females,27
2013,December,Alpine,Males,178
2013,December,Ararat,Females,105
2013,December,Ararat,Males,395
2013,December,Ballarat,Females,585
2013,December,Ballarat,Males,"2,345"
2013,December,Banyule,Females,525
2013,December,Banyule,Males,"1,783"
2013,December,Bass Coast,Females,215
2013,December,Bass Coast,Males,857
2013,December,Baw Baw,Females,204
2013,December,Baw Baw,Males,990
2013,December,Bayside,Females,163
2013,December,Bayside,Males,926
2013,December,Benalla,Females,97
2013,December,Benalla,Males,331
2013,December,Boroondara,Females,271
2013,December,Boroondara,Males,"1,361"
2013,December,Brimbank,Females,"1,047"
2013,December,Brimbank,Males,"4,322"
2013,December,Buloke,Females,17
2013,December,Buloke,Males,74
2013,December,Campaspe,Females,152
2013,December,Campaspe,Males,703
2013,December,Cardinia,Females,290
2013,December,Cardinia,Males,"1,535"
2013,December,Casey,Females,"1,195"
2013,December,Casey,Males,"4,241"
2013,December,Central Goldfields,Females,73
2013,December,Central Goldfields,Males,413
2013,December,Colac-Otway,Females,97
2013,December,Colac-Otway,Males,459
2013,December,Corangamite,Females,47
2013,December,Corangamite,Males,173
2013,December,Darebin,Females,701
2013,December,Darebin,Males,"2,475"
2013,December,East Gippsland,Females,333
2013,December,East Gippsland,Males,"1,490"
2013,December,Frankston,Females,"1,223"
2013,December,Frankston,Males,"4,366"
2013,December,Gannawarra,Females,47
2013,December,Gannawarra,Males,177
2013,December,Glen Eira,Females,275
2013,December,Glen Eira,Males,"1,180"
2013,December,Glenelg,Females,108
2013,December,Glenelg,Males,501
2013,December,Golden Plains,Females,26
2013,December,Golden Plains,Males,87
2013,December,Greater Bendigo,Females,628
2013,December,Greater Bendigo,Males,"2,275"
2013,December,Greater Dandenong,Females,"1,259"
2013,December,Greater Dandenong,Males,"4,675"
2013,December,Greater Geelong,Females,914
2013,December,Greater Geelong,Males,"3,990"
2013,December,Greater Shepparton,Females,467
2013,December,Greater Shepparton,Males,"1,953"
2013,December,Hepburn,Females,23
2013,December,Hepburn,Males,178
2013,December,Hindmarsh,Females,28
2013,December,Hindmarsh,Males,111
2013,December,Hobsons Bay,Females,340
2013,December,Hobsons Bay,Males,"1,662"
2013,December,Horsham,Females,200
2013,December,Horsham,Males,628
2013,December,Hume,Females,870
2013,December,Hume,Males,"3,674"
2013,December,Indigo,Females,29
2013,December,Indigo,Males,152
2013,December,Kingston,Females,691
2013,December,Kingston,Males,"2,571"
2013,December,Knox,Females,651
2013,December,Knox,Males,"2,129"
2013,December,Latrobe,Females,966
2013,December,Latrobe,Males,"3,298"
2013,December,Loddon,Females,34
2013,December,Loddon,Males,104
2013,December,Macedon Ranges,Females,104
2013,December,Macedon Ranges,Males,551
2013,December,Manningham,Females,301
2013,December,Manningham,Males,841
2013,December,Mansfield,Females,13
2013,December,Mansfield,Males,113
2013,December,Maribyrnong,Females,598
2013,December,Maribyrnong,Males,"2,251"
2013,December,Maroondah,Females,467
2013,December,Maroondah,Males,"1,800"
2013,December,Melbourne,Females,"2,006"
2013,December,Melbourne,Males,"10,519"
2013,December,Melton,Females,349
2013,December,Melton,Males,"1,832"
2013,December,Merri-bek,Females,507
2013,December,Merri-bek,Males,"2,288"
2013,December,Mildura,Females,437
2013,December,Mildura,Males,"1,778"
2013,December,Mitchell,Females,149
2013,December,Mitchell,Males,726
2013,December,Moira,Females,121
2013,December,Moira,Males,454
2013,December,Monash,Females,395
2013,December,Monash,Males,"1,635"
2013,December,Moonee Valley,Females,404
2013,December,Moonee Valley,Males,"1,789"
2013,December,Moorabool,Females,81
2013,December,Moorabool,Males,463
2013,December,Mornington Peninsula,Females,484
2013,December,Mornington Peninsula,Males,"2,802"
2013,December,Mount Alexander,Females,60
2013,December,Mount Alexander,Males,258
2013,December,Moyne,Females,28
2013,December,Moyne,Males,148
2013,December,Murrindindi,Females,33
2013,December,Murrindindi,Males,248
2013,December,Nillumbik,Females,91
2013,December,Nillumbik,Males,485
2013,December,Northern Grampians,Females,95
2013,December,Northern Grampians,Males,302
2013,December,Port Phillip,Females,614
2013,December,Port Phillip,Males,"2,682"
2013,December,Pyrenees,Females,17
2013,December,Pyrenees,Males,73
2013,December,Queenscliffe,Females,
2013,December,Queenscliffe,Males,
2013,December,South Gippsland,Females,65
2013,December,South Gippsland,Males,372
2013,December,Southern Grampians,Females,94
2013,December,Southern Grampians,Males,425
2013,December,Stonnington,Females,646
2013,December,Stonnington,Males,"2,145"
2013,December,Strathbogie,Females,20
2013,December,Strathbogie,Males,175
2013,December,Surf Coast,Females,55
2013,December,Surf Coast,Males,345
2013,December,Swan Hill,Females,197
2013,December,Swan Hill,Males,672
2013,December,Towong,Females,10
2013,December,Towong,Males,91
2013,December,Wangaratta,Females,215
2013,December,Wangaratta,Males,845
2013,December,Warrnambool,Females,217
2013,December,Warrnambool,Males,851
2013,December,Wellington,Females,280
2013,December,Wellington,Males,987
2013,December,West Wimmera,Females,11
2013,December,West Wimmera,Males,69
2013,December,Whitehorse,Females,427
2013,December,Whitehorse,Males,"1,411"
2013,December,Whittlesea,Females,653
2013,December,Whittlesea,Males,"2,645"
2013,December,Wodonga,Females,201
2013,December,Wodonga,Males,868
2013,December,Wyndham,Females,689
2013,December,Wyndham,Males,"2,808"
2013,December,Yarra,Females,517
2013,December,Yarra,Males,"2,705"
2013,December,Yarra Ranges,Females,340
2013,December,Yarra Ranges,Males,"1,815"
2013,December,Yarriambiack,Females,21
2013,December,Yarriambiack,Males,111