Date,Monthly Hours Worked,Unemployed Individuals,Year
Jan-2017,443573.8,209.6,2017
Feb-2017,429629.9,215.3,2017
Mar-2017,432467.7,222,2017
Apr-2017,422975.1,212.2,2017
May-2017,441645.8,199,2017
Jun-2017,445394.1,190.5,2017
Jul-2017,436608.7,202.7,2017
Aug-2017,436274.7,208.6,2017
Sep-2017,436863.9,200.5,2017
Oct-2017,436287.1,183.5,2017
Nov-2017,443797.3,175.3,2017
Dec-2017,442495.8,206.1,2017
Jan-2018,441689.6,207.5,2018
Feb-2018,443276.2,207.1,2018
Mar-2018,443943.5,190.3,2018
Apr-2018,446548.1,181.7,2018
May-2018,444702.6,167.6,2018
Jun-2018,446337.6,181,2018
Jul-2018,450583.2,166.7,2018
Aug-2018,449649.6,163.2,2018
Sep-2018,454755.9,153.9,2018
Oct-2018,454919.7,145.3,2018
Nov-2018,452870.7,150.2,2018
Dec-2018,454076.0,141.9,2018
Jan-2019,457350.9,173.8,2019
Feb-2019,459226.6,180.8,2019
Mar-2019,458748.3,171.4,2019
Apr-2019,454559.4,173.6,2019
May-2019,456013.2,156.3,2019
Jun-2019,457938.5,159.9,2019
Jul-2019,453813.5,166.5,2019
Aug-2019,460921.9,174.3,2019
Sep-2019,459006.1,162.3,2019
Oct-2019,457245.2,158.1,2019
Nov-2019,460035.4,151.5,2019
Dec-2019,463225.7,171.3,2019
Jan-2020,456233.7,208.3,2020
Feb-2020,457278.2,206,2020
Mar-2020,451845.0,195.4,2020
Apr-2020,409013.8,211.5,2020
May-2020,412743.2,227.2,2020
Jun-2020,428217.4,246.6,2020
Jul-2020,435102.6,232.3,2020
Aug-2020,413350.0,241.8,2020
Sep-2020,401634.1,219.1,2020
Oct-2020,419716.4,235.3,2020
Nov-2020,446474.4,235.9,2020
Dec-2020,442283.1,223.9,2020
Jan-2021,429173.4,243.4,2021
Feb-2021,448482.5,220.3,2021
Mar-2021,458545.1,227.8,2021
Apr-2021,455742.8,196.7,2021
May-2021,464741.1,165.4,2021
Jun-2021,429653.7,151.3,2021
Jul-2021,467176.0,155.2,2021
Aug-2021,454634.7,142,2021
Sep-2021,437442.6,158.8,2021
Oct-2021,417427.9,179.3,2021
Nov-2021,460824.1,156.7,2021
Dec-2021,467774.9,150.5,2021
Jan-2022,412712.1,159.4,2022
Feb-2022,464095.0,163.5,2022
Mar-2022,471229.8,156,2022
Apr-2022,466720.0,157.9,2022
May-2022,466230.7,134,2022
Jun-2022,469144.4,112.8,2022
Jul-2022,472980.9,111.2,2022
Aug-2022,475029.8,135.7,2022
Sep-2022,473818.4,123.5,2022
Oct-2022,480778.4,126.1,2022
Nov-2022,487049.9,125.7,2022
Dec-2022,477480.6,126.5,2022
Jan-2023,461818.3,162,2023
Feb-2023,490942.4,152.3,2023